rou,fir,sec,thi,for,fif,six,bon
705,9,17,19,30,35,42,4
706,1,6,9,16,17,28,24
707,6,12,13,17,32,44,24
708,16,23,25,33,36,39,40
709,7,17,20,32,44,45,33
710,2,4,21,25,33,36,17
711,10,14,15,32,36,42,3
712,9,18,29,32,38,43,20
713,12,18,20,21,25,34,42
714,16,19,23,25,41,45,3
715,5,8,22,28,33,42,37
716,2,17,19,20,34,45,21
717,3,10,11,22,36,39,8
718,10,11,21,27,31,39,43
719,1,13,33,35,43,45,23
720,15,17,19,34,38,41,2
721,9,17,34,35,43,45,2
722,2,3,5,6,12,20,25
723,4,12,24,27,28,32,10
724,1,5,19,28,34,41,16
725,1,2,5,11,18,36,22
726,14,15,17,19,37,45,40
727,5,15,21,23,25,45,12
728,4,18,23,30,34,41,19
729,7,8,18,21,23,39,9
730,4,10,16,26,33,41,38
731,2,14,17,30,38,45,43
732,13,19,20,32,38,42,4
733,7,11,13,33,37,43,26
734,7,9,10,12,26,38,39
735,1,3,20,25,36,45,24
736,5,9,27,29,37,40,19
737,6,11,19,20,28,32,34
738,3,8,15,27,30,45,44
739,1,4,12,16,18,38,8
740,6,10,17,30,37,38,40
741,1,9,17,21,29,33,24
742,17,18,31,32,33,34,10
743,3,7,8,18,20,42,45
744,8,13,18,32,39,45,7
745,3,14,33,37,38,42,10
746,1,12,17,28,35,41,10
747,6,12,24,27,35,37,41
748,1,15,19,40,42,44,17
749,13,33,37,40,41,45,2
750,2,7,15,24,30,45,28
751,6,8,18,31,38,45,42
752,2,5,10,18,31,32,30
753,1,3,4,6,14,41,12
754,10,11,23,24,36,37,35
755,7,16,31,36,37,38,11
756,3,11,37,39,41,43,13
757,10,12,13,15,25,29,20
758,4,15,21,33,39,41,25
759,14,19,20,35,38,40,26
760,13,14,15,26,35,39,25
761,1,8,24,31,34,44,6
762,7,9,12,27,39,43,28
763,3,8,9,27,29,40,36
764,5,9,12,20,21,26,27
765,5,18,20,36,42,43,32
766,3,10,19,24,32,45,12
767,7,8,24,34,36,41,1
768,3,4,9,11,22,42,37
769,5,9,34,37,38,39,12
770,9,16,27,36,41,44,5
771,1,27,28,32,37,40,18
772,9,12,24,25,29,31,36
773,6,11,16,18,31,43,2
774,7,12,15,24,37,40,43
775,4,5,14,35,42,45,34
776,14,27,30,31,38,40,17
777,6,13,27,31,32,37,4
778,4,11,14,21,23,43,32
779,1,5,6,24,27,42,32
780,1,5,19,20,24,30,27
781,8,19,25,31,34,36,33
782,14,23,26,31,39,45,28
783,6,7,19,25,28,38,45
784,19,23,30,37,43,45,38
785,3,8,27,31,41,44,11
786,3,8,17,23,38,45,13
787,12,15,28,36,39,40,13
788,13,18,21,23,26,39,15
789,9,11,27,31,32,38,22
790,13,16,25,36,37,38,19
791,2,12,17,19,28,42,34
792,4,19,20,21,32,34,43
793,2,16,24,27,28,35,21
794,6,10,16,40,41,43,21
795,11,15,24,39,41,44,7
796,2,4,15,28,31,34,35
797,1,11,17,21,24,44,33
798,1,4,8,13,37,39,7
799,21,22,26,27,31,37,8
800,13,21,22,24,26,37,4
801,4,6,13,17,28,40,39
802,8,9,10,12,24,44,35
803,5,10,19,31,44,45,27
804,5,11,14,29,32,33,12
805,4,5,9,11,23,38,35
806,17,25,35,36,39,44,23
807,4,5,15,16,22,42,2
808,2,6,8,14,21,22,34
809,5,11,13,19,31,36,7
810,4,19,26,27,30,42,7
811,1,3,18,20,26,27,38
812,5,7,28,29,39,43,44
813,2,20,33,35,37,40,10
814,5,11,19,21,34,43,31
815,4,11,20,26,35,37,16
816,1,8,14,18,29,44,20
817,16,20,27,33,35,39,38
818,7,16,17,33,36,40,1
819,2,3,7,15,43,44,4
820,5,7,20,25,28,37,32
821,2,3,4,5,20,24,42
822,11,12,18,21,31,38,8
823,12,13,17,20,33,41,8
824,10,19,22,23,25,37,39
